polarity,text,
neg,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
neg,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
neg,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
neg,my whole body feels itchy and like its on fire 
neg,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. "
neg,@Kwesidei not the whole crew 
neg,Need a hug 
neg,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?"
neg,@Tatiana_K nope they didn't have it 
neg,@twittera que me muera ? 
neg,spring break in plain city... it's snowing 
neg,I just re-pierced my ears 
neg,@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
neg,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore "
neg,"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown."
neg,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
neg,Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
neg,about to file taxes 
neg,@LettyA ahh ive always wanted to see rent  love the soundtrack!!
neg,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
neg,@alydesigns i was out most of the day so didn't get much done 
neg,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* "
neg,@angry_barista I baked you a cake but I ated it 
neg,this week is not going as i had hoped 
neg,blagh class at 8 tomorrow 
neg,I hate when I have to call and wake people up 
neg,Just going to cry myself to sleep after watching Marley and Me.  
neg,im sad now  Miss.Lilly
neg,ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
neg,Meh... Almost Lover is the exception... this track gets me depressed every time. 
neg,some1 hacked my account on aim  now i have to make a new one
neg,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
neg,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
neg,@julieebaby awe i love you too!!!! 1 am here  i miss you
neg,@HumpNinja I cry my asian eyes to sleep at night 
neg,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
neg,@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
neg,@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
neg,@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
neg,Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
neg,really don't feel like getting up today... but got to study to for tomorrows practical exam... 
neg,He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
neg,"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!"
neg,@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
neg,Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
neg,@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
neg,"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?"
neg,Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
neg,is strangely sad about LiLo and SamRo breaking up. 
neg,@tea oh! i'm so sorry  i didn't think about that before retweeting.
neg,Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
neg,"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. "
neg,our duck and chicken are taking wayyy too long to hatch 
neg,"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. "
neg,I need a hug 
neg,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
neg,@oanhLove I hate when that happens... 
neg,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
neg,Ugh....92 degrees tomorrow 
neg,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
neg,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
